,Name,Sale Price,Discount,Rating,Number of Reviews,URL
0,Blink Outdoor 4 Wire-Free 1080p Full HD Add-On IP Security Camera - Black,99.99,0,,0,https://www.bestbuy.ca/en-ca/product/blink-outdoor-4-wire-free-1080p-full-hd-add-on-ip-security-camera-black/17194843
1,Arlo Pro 5S Wire-Free Indoor/Outdoor 2K Security Camera - 3 Pack - White - Only at Best Buy,579.97,0,,0,https://www.bestbuy.ca/en-ca/product/arlo-pro-5s-wire-free-indoor-outdoor-2k-security-camera-3-pack-white-only-at-best-buy/17291371
2,eufy eufyCam S3 Pro Wire-Free 4K Ultra HD Outdoor Security Camera with Solar Panel - 2 Pack,799.99,0,,0,https://www.bestbuy.ca/en-ca/product/eufy-eufycam-s3-pro-wire-free-4k-ultra-hd-outdoor-security-camera-with-solar-panel-2-pack/18248963
3,Eufy SoloCam S340 Wire-Free Outdoor IP Camera - Black/White,259.99,0,,0,https://www.bestbuy.ca/en-ca/product/eufy-solocam-s340-wire-free-outdoor-ip-camera-black-white/17725403
4,Blink Outdoor 4 Wire-Free 1080p Full HD IP Security Camera System with Sync Module Core - 1 Pack,45.99,69,,0,https://www.bestbuy.ca/en-ca/product/blink-outdoor-4-wire-free-1080p-full-hd-ip-security-camera-system-with-sync-module-core-1-pack/19333142
5,TP-Link Tapo C510W Pan/Tilt Semi-Wireless Outdoor 2K IP Camera,57.99,0,,0,https://www.bestbuy.ca/en-ca/product/tp-link-tapo-c510w-pan-tilt-semi-wireless-outdoor-2k-ip-camera/17633947
6,"Defender AI POWERED Sentinel 4K Ultra HD Wired 8 Channel PoE NVR Security System, 6 Metal Cameras with 1TB HDD, Includes 2 Year Warranty and Extra 60 ft. Cable",399.99,835,,0,https://www.bestbuy.ca/en-ca/product/defender-ai-powered-sentinel-4k-ultra-hd-wired-8-channel-poe-nvr-security-system-6-metal-cameras-with-1tb-hdd-includes-2-year-warranty-and-extra-60-ft-cable/18933469
7,Night Owl Wired 2-Way Audio DVR Security System with 8 Bullet Indoor/Outdoor 2K Cameras - White,599.99,0,,0,https://www.bestbuy.ca/en-ca/product/night-owl-wired-2-way-audio-dvr-security-system-with-8-bullet-indoor-outdoor-2k-cameras-white/18218221
8,TP-Link Tapo C200 Wireless Indoor 1080p Full HD Home Security Camera - White,34.99,0,,0,https://www.bestbuy.ca/en-ca/product/tp-link-tapo-c200-wireless-indoor-1080p-full-hd-home-security-camera-white/15985005
9,TP-Link Tapo C100 Wi-Fi Indoor 1080p Full HD Security Camera - White,24.99,0,,0,https://www.bestbuy.ca/en-ca/product/tp-link-tapo-c100-wi-fi-indoor-1080p-full-hd-security-camera-white/15985006
10,"Defender AI POWERED Sentinel 4K Ultra HD Wired 8 Channel PoE NVR Security System, 4 Metal Cameras with 1TB HDD, Includes 2 Year Warranty and Extra 60 ft. Cable",329.99,670,,0,https://www.bestbuy.ca/en-ca/product/defender-ai-powered-sentinel-4k-ultra-hd-wired-8-channel-poe-nvr-security-system-4-metal-cameras-with-1tb-hdd-includes-2-year-warranty-and-extra-60-ft-cable/18933479
11,Arlo Essential Wire-Free Indoor/Outdoor 2K Security Camera (2nd Generation) - 2 Pack - White,249.97,0,,0,https://www.bestbuy.ca/en-ca/product/arlo-essential-wire-free-indoor-outdoor-2k-security-camera-2nd-generation-2-pack-white/17278925
12,Arlo Essential Wireless Indoor/Outdoor HD Security Camera (2nd Generation) - White - Only at Best Buy,74.97,0,,0,https://www.bestbuy.ca/en-ca/product/arlo-essential-wireless-indoor-outdoor-hd-security-camera-2nd-generation-white-only-at-best-buy/17278919
13,TP-Link Tapo C100 Wi-Fi Indoor 1080p Full HD Security Camera - White,24.99,0,,0,https://www.bestbuy.ca/en-ca/product/tp-link-tapo-c100-wi-fi-indoor-1080p-full-hd-security-camera-white/15985006
14,Blink Mini Wi-Fi Indoor 1080p IP Camera - 2 Pack - White,64.99,0,,0,https://www.bestbuy.ca/en-ca/product/blink-mini-wi-fi-indoor-1080p-ip-camera-2-pack-white/14581248
15,TP-Link Tapo C320WS Wired Weatherproof Outdoor 2K 4MP QHD Security Camera - White,49.99,0,,0,https://www.bestbuy.ca/en-ca/product/tp-link-tapo-c320ws-wired-weatherproof-outdoor-2k-4mp-qhd-security-camera-white/16540395
16,"Elder AI 4K Security Camera System 8Ch NVR 4TB PoE 8-Camera Outdoor, Person & Vehicle Detection & NDAA, Red & Blue Deterrence, Spotlight Home Surveillance 8MP Wired DIY, RB Series",799.97,645.03,,0,https://www.bestbuy.ca/en-ca/product/elder-ai-4k-security-camera-system-8ch-nvr-4tb-poe-8-camera-outdoor-person-vehicle-detection-ndaa-red-blue-deterrence-spotlight-home-surveillance-8mp-wired-diy-rb-series/16342870
17,Blink Outdoor 4 Wire-Free 1080p Full HD IP Security Camera System with Sync Module Core - 3 Pack,279.99,0,,0,https://www.bestbuy.ca/en-ca/product/blink-outdoor-4-wire-free-1080p-full-hd-ip-security-camera-system-with-sync-module-core-3-pack/19333141
18,TP-Link Tapo C320WS Wired Weatherproof Outdoor 2K 4MP QHD Security Camera - White,49.99,0,,0,https://www.bestbuy.ca/en-ca/product/tp-link-tapo-c320ws-wired-weatherproof-outdoor-2k-4mp-qhd-security-camera-white/16540395
19,Hidensa Mini IP Camera WiFi Home Security Surveillance Nanny Camcorder with 2 Way Audio Motion Detection Night Vision -Black,36.85,58.15,,0,https://www.bestbuy.ca/en-ca/product/hidensa-mini-ip-camera-wifi-home-security-surveillance-nanny-camcorder-with-2-way-audio-motion-detection-night-vision-black/15754678
20,Open Box - eufy eufyCam 2C Pro Wireless Security System with 3 2K Cameras and HomeBase 3 - White,229,270.99,,0,https://www.bestbuy.ca/en-ca/product/open-box-eufy-eufycam-2c-pro-wireless-security-system-with-3-2k-cameras-and-homebase-3-white/18161738
21,Eufy SoloCam S340 Wire-Free Outdoor IP Camera - Black/White,259.99,0,,0,https://www.bestbuy.ca/en-ca/product/eufy-solocam-s340-wire-free-outdoor-ip-camera-black-white/17725403
22,"【2025 New】Elder 4K Security Camera System Spotlight, 4-Camera DVR Surveillance Kit Outdoor DIY Wired 1TB Audio Color Night Vision, Home Security Camera System",314.99,304.01,,0,https://www.bestbuy.ca/en-ca/product/2025-new-elder-4k-security-camera-system-spotlight-4-camera-dvr-surveillance-kit-outdoor-diy-wired-1tb-audio-color-night-vision-home-security-camera-system/15723632
23,Arlo Essential Wire-Free Indoor/Outdoor 2K Security Camera (2nd Generation) - White,129.97,0,,0,https://www.bestbuy.ca/en-ca/product/arlo-essential-wire-free-indoor-outdoor-2k-security-camera-2nd-generation-white/17278926
24,Google Nest Cam Wire-Free Indoor/Outdoor Security Camera - White,239.99,0,,0,https://www.bestbuy.ca/en-ca/product/google-nest-cam-wire-free-indoor-outdoor-security-camera-white/15621548
25,Blink Outdoor 4 Wire-Free 1080p Full HD IP Security Camera System with Sync Module Core - 5 Pack,429.99,0,,0,https://www.bestbuy.ca/en-ca/product/blink-outdoor-4-wire-free-1080p-full-hd-ip-security-camera-system-with-sync-module-core-5-pack/19333144
26,"【2025 New】Elder 4K Security Camera System Spotlight, 8-Camera 8Ch DVR Surveillance Kit Outdoor DIY Wired 2TB Audio Color Night Vision, Home Security Camera System",528.97,430.03,,0,https://www.bestbuy.ca/en-ca/product/2025-new-elder-4k-security-camera-system-spotlight-8-camera-8ch-dvr-surveillance-kit-outdoor-diy-wired-2tb-audio-color-night-vision-home-security-camera-system/16663677
27,1080P HD IP Camera Smart WiFi Home Security Camera Surveilance Camera with PIR Motion Detection Home Security,53.8,21.200000000000003,,0,https://www.bestbuy.ca/en-ca/product/1080p-hd-ip-camera-smart-wifi-home-security-camera-surveilance-camera-with-pir-motion-detection-home-security/15748186
28,Open Box - eufy SoloCam S340 Solar Security Camera Bundle,259.99,0,,0,https://www.bestbuy.ca/en-ca/product/open-box-eufy-solocam-s340-solar-security-camera-bundle/19350806
29,Alarm.com 1080P HD Indoor/Outdoor Dome Security Camera ADC-VC826,249,0,,0,https://www.bestbuy.ca/en-ca/product/alarm-com-1080p-hd-indoor-outdoor-dome-security-camera-adc-vc826/17716856
30,Defender AI POWERED 4K Everwatch PTZ 360° Wi-Fi Plug-in Power Security Camera with 64GB SD Card - 3 Pack,149.99,380,,0,https://www.bestbuy.ca/en-ca/product/defender-ai-powered-4k-everwatch-ptz-360-wi-fi-plug-in-power-security-camera-with-64gb-sd-card-3-pack/18929121
31,Light Bulb Camera WiFi Night Vision Security Point Surveillance Camera HD Camera (without memory card),31.99,0,,0,https://www.bestbuy.ca/en-ca/product/light-bulb-camera-wifi-night-vision-security-point-surveillance-camera-hd-camera-without-memory-card/19292244
